process,commodity,direction
UBIOLOGLIG100,BIOLOG,IN
UETHCRP202,BIOARSBLE,IN
CCUMET02,SYNHYG,IN
UBIOGASCFB00,BIOLIG,IN
INMCEMPLADRY01,MNMCLK,OUT
UFTHFO_COAL,OILHFO,OUT
UPYRDST_BIO,BIOLIG,IN
RCH4WLF04,RESCH4P,IN
INDBIOSNG010,INDBIOSNG,OUT
RCH4WLF07,RESDMY,OUT
E_SPV_C02_TUR,ELCSOL,IN
EZCOABIOPULTOR40PAR,CPTELCCO2B,OUT
CO2TRAON - step 3,CO2TRAON,OUT
E_WOF_deep_Near_C3_TZA,ELC,OUT
UBIOARSPTOARSP100,BIOCOCCAK,IN
E_WOF_deep_Far_C4_CAN,ELC,OUT
E_SPV_C04_GUY,ELC,OUT
EZPCOA121,ELC,OUT
UFTDST_COACCS,COAHCO,IN
E_WON_Near_C5_MRT,ELC,OUT
UETHCRP102,SUPNGA,IN
UBIOSWTLIG100,BIOLIG,OUT
CCUMINBFSF,BFSAGG,OUT
E_WOF_deep_Inter_C4_PRI,ELC,OUT
CCSDUMINDBISIP,SNKCO2,OUT
UBIOOIL100,BIOOIL,OUT
UBIOOIL400,BIOOIL,OUT
UPYRDST_BIO,BIODST,OUT
EZCOABIOCCOSLD20SEP,ELCBSL,IN
E_WOF_deep_Inter_C2_MDG,ELCWIN,IN
INMSLDMIXPCC,INMBIOSLD,IN
UBIOSRF700,BIOSRF,IN
EZCOABIOPULTOR40CO,CPTELCCO2N,OUT
ISCHHFO_new,INDHFO,IN
SINKON,SNKCO2,IN
UBIOCRPPRD1200,BIOSRFGRD,IN
UBIOOIL600,BIOOIL,OUT
EZOCOA121,CPTELCCO2N,OUT
E_WON_Far_C1_PER,ELCWIN,IN
IN2ONIT02,INDDMY,OUT
IISCHRCKCX01,IISCHRCKCX,OUT
E_WOF_deep_Near_C6_MDG,ELC,OUT
ACH4MAN04,AGRMAN4,IN
IISCOREX_SM01,MISOXY,IN
EZIGC1120,CPTELCCO2N,OUT
EZPCOA129,ELC,OUT
EZCCGT120,ELCNGA,IN
EZCCGT122,CPTELCCO2N,OUT
E_WON_Trans_C1_GAB,ELCWIN,IN
INMSLDMIXCC,INMBIOSLD,IN
CCUMET01,CCUFOS,IN
UBIOCANESUGAR100,BIOCANEBG,OUT
CCUMINBFSB,INDELC,IN
CCUGAS03,HET,OUT
E_WON_Near_C1_MWI,ELCWIN,IN
E_SPV_C06_TKM,ELCSOL,IN
CCULIQ04,SYNHYG,IN
UFTJTK_COACCS,COAHCO,IN
INMSLDMIXCC,INDOVC,IN
E_SPV_C04_KAZ,ELC,OUT
CCUGAS02,HET,OUT
RESBIOSNG010,BIOSNGAS,IN
CCSDUMINDBISIP,CPTIISB,IN
UBIOSRF700,BIOSRFSUN,OUT
E_WOF_deep_Inter_C3_COL,ELCWIN,IN
UMTGGSL02,SUPELC,OUT
IPCHHFO_new,INDHFO,IN
UBIOARSHLIG100,BIOLIG,OUT
EZCOABIOCCOSLD20PAR,ELCCO2N,OUT
IPOIELC_new,IPOI,OUT
IOCHELC_new,INDELC,IN
ISOIOIL_new,ISOI,OUT
